nuclide,"(n,gamma)","(n,2n)","(n,p)","(n,a)","(n,3n)","(n,4n)",fission
Pd105,16.7115,0.000744311,2.481e-05,1.39221e-05,3.18838e-08,0.0,0.0
Pd106,1.52832,0.000215737,1.05219e-05,4.40595e-06,5.32557e-08,0.0,0.0
Pd107,20.4764,0.00251808,3.34003e-06,2.62439e-06,3.40939e-07,0.0,0.0
Pd108,42.027,0.000328474,1.81477e-06,1.08282e-06,1.85411e-07,0.0,0.0
Pd109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pd110,0.614963,0.00046288,3.80751e-07,4.64329e-08,4.15508e-07,0.0,0.0
Ag107,18.7467,0.000190335,0.000138902,4.41994e-06,2.96312e-08,0.0,0.0
Ag108,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag109,203.237,0.00022249,1.24447e-05,6.9831e-07,7.37743e-08,0.0,0.0
Ag110_m1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag111,17.7774,0.000369957,2.32373e-06,2.4005e-07,2.31635e-07,0.0,0.0
Ag112,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag113,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag114,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag115,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag116,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag117,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag118_m1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cd106,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cd107,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cd108,3.28556,6.67963e-05,2.65099e-05,6.19536e-06,6.08613e-09,0.0,0.0
Cd109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cd110,6.05339,0.000115289,3.98095e-06,8.25689e-07,3.72375e-08,0.0,0.0
Cd111,9.32298,0.00144304,2.50898e-05,6.70254e-06,1.82169e-07,0.0,0.0
Cd112,2.39654,0.000177438,1.448e-06,1.49044e-07,9.76861e-08,0.0,0.0
Cd113,34.7054,0.00160152,1.91265e-06,7.63743e-07,1.22197e-07,0.0,0.0
Cd114,2.39791,0.000231228,2.34066e-07,3.03414e-08,3.29349e-07,0.0,0.0
Cd115_m1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cd116,0.373391,0.000350342,8.64502e-08,7.60123e-09,6.41259e-07,0.0,0.0
In113,51.7686,0.000168819,1.1842e-05,9.38459e-07,1.26682e-07,0.0,0.0
In114,0.0,0.0,0.0,0.0,0.0,0.0,0.0
In115,471.396,0.000238999,1.99539e-06,3.64332e-07,3.01659e-07,0.0,0.0
Sn112,5.56151,6.31309e-05,4.64128e-05,3.77669e-05,2.73446e-09,0.0,0.0
Sn113,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sn114,1.53637,8.84906e-05,1.06586e-05,4.74717e-06,4.85116e-08,0.0,0.0
